Player,Total Points Won,Aces,Double Faults,Winners,Errors,First Serve %,Serve Points Won %,Net Points Won,Points Won 0-4 Shots,Points Won 5-8 Shots,Points Won 9+ Shots,Returns Played IN %,Return Points Won %
isaac stahly,20,4,2,1,28,0.58,0.44,0,17,3,0,0.87,0.17
Alessandro  Santangelo,40,0,1,10,14,0.63,0.83,1,20,18,2,0.68,0.56
